date,equity,cash,n_positions,exposure,drawdown
2024-02-11,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-12,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-13,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-14,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-15,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-16,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-17,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-18,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-19,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-20,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-21,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-22,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-23,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-24,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-25,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-26,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-27,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-28,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-02-29,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-01,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-02,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-03,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-04,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-05,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-06,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-07,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-08,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-09,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-10,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-11,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-12,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-13,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-14,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-15,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-16,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-17,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-18,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
2024-03-19,107041.5953309425,107041.5953309425,0,0.0,0.06832163518102591
